stationID,总进站量,name,中文名
1333,979499,Shanghai Natural History Museum,自然博物馆
1222,978378,Gudai Road,顾戴路
339,974881,North Jiangyang Road,江杨北路
314,963585,Caoxi Road,漕溪路
642,954056,Dongjing Road,东靖路
623,930871,Shangnan Road,上南路
929,890804,Xingzhong Road,星中路
646,890470,Hangjin Road,航津路
336,888382,Baoyang Road,宝杨路
1628,872903,Shanghai Wild Animal Park,野生动物园
1322,866750,West Jinshajiang Road,金沙江西路
335,863593,Shuichan Road,水产路
1043,858129,Hongqiao Terminal 1,虹桥1号航站楼
1223,847263,Donglan Road,东兰路
1162,839896,Kangxin Highway,康新公路
503,836946,Yindu Road,银都路
644,833576,Zhouhai Road,洲海路
332,832840,Songfa Road,淞发路
825,830975,Lingzhao Xincun,凌兆新村
919,830402,Zuibaichi,醉白池
624,781962,West Huaxia Road,华夏西路
645,761791,South Waigaoqiao Free Trade Zone Station,外高桥保税区南站
1221,752491,Hongxin Road,虹莘路
137,732424,West Youyi Road,友谊西路
2040,731312,Oriental Sports Center,东方体育中心
728,709796,Nanchen Road,南陈路
511,705871,Huaning Road,华宁路
1250,687768,Shenjiang Road,申江路
1066,684154,Sanmen Road,三门路
1633,646979,Dishui Lake,滴水湖
647,635337,North Waigaoqiao Free Trade Zone Station,外高桥保税区北站
1115,627703,Guangming Road,光明路
502,616049,Chunshen Road,春申路
1153,614336,Longyao Road,龙耀路
2042,611084,Luoshan Road,罗山路
648,605992,Gangcheng Road,港城路
1118,592483,Shanghai Automobile City,上海汽车城
1339,570176,Expo Avenue,世博大道
1152,569744,Yunjin Road,云锦路
643,561493,Wuzhou Avenue,五洲大道
1631,533882,Shuyuan,书院
1067,516756,East Yingao Road,殷高东路
1626,451345,Hangtou East,航头东
723,450762,Panguang Road,潘广路
513,450579,Minhang Development Zone,闵行开发区
918,449404,South Songjiang Railway Station,松江南站
1019,432981,Ziteng Road,紫藤路
1119,427493,East Changji Road,昌吉东路
260,418107,Lingkong Road,凌空路
744,387529,Houtan,后滩
338,380212,Tieli Road,铁力路
1120,377993,Shanghai Circuit,上海赛车场
1632,358292,Lingang Avenue,临港大道
1630,272839,Huinan East,惠南东
257,259017,Chuangxin Central Road,创新中路
512,253283,Wenjing Road,文井路
261,236454,Yuandong Avenue,远东大道
1139,232204,Wuwei Road,武威路
262,224913,Haitian 3rd Road,海天三路
1622,206118,Middle Huaxia Road,华夏中路
333,192083,Zhanghuabang,张华浜
1245,166343,Fuxing Island,复兴岛
