name,stationID,聚类簇号,站点类型,日均总客流,周末比,早高峰进站占比,晚高峰进站占比,早高峰出站占比
West Youyi Road,137,2,休闲商圈站,21515.73754789272,0.6738389538729159,0.1793794788226034,0.03824562320810204,0.05567436145459405
Fujin Road,138,3,通勤居住站,78158.88601532567,0.77260187012625,0.17925514626814423,0.02900042629752594,0.05106830973284282
East Xujing,234,4,综合枢纽站,157959.7614942529,0.7651171033402425,0.1628015098066062,0.04247566328068006,0.05684734194475418
Songhong Road,237,4,综合枢纽站,165303.85249042144,0.4893369421813489,0.11378534158953273,0.11082028324871011,0.12919309631299608
Beixinjing,238,0,就业办公站,79014.95593869733,0.7004161227873894,0.15935178019229942,0.05091698526742189,0.0661221651219598
Weining Road,239,0,就业办公站,85357.92624521072,0.6627426550705271,0.12007627016729268,0.08066319800770255,0.09062832291990074
Loushanguan Road,240,4,综合枢纽站,171061.24329501914,0.6466251475193642,0.08948511894060882,0.1050574072317223,0.11384072162737623
Lujiazui,247,4,综合枢纽站,281057.65134099615,0.5888190450929888,0.03561736364056449,0.15805204056523928,0.15949885670771888
Dongchang Road,248,0,就业办公站,134348.7049808429,0.47184977558758445,0.07688966816259815,0.1271906900375675,0.13146075122849094
Shanghai Science and Technology Museum,250,0,就业办公站,74155.408045977,0.8124004994866076,0.08019898947180594,0.10569460829048093,0.11928294789324327
Century Park,251,3,通勤居住站,61551.40229885058,0.7167201401338247,0.16710172054608172,0.06044287935027108,0.06425324915664334
Zhangjiang Hi-Tech Park,253,0,就业办公站,110767.78065134099,0.3915389582322544,0.07009478315842825,0.1494748873813591,0.16376762239828152
Jinke Road,254,0,就业办公站,150343.6867816092,0.48954777646865627,0.07358441565698859,0.14775552024899666,0.16463621245887133
Guanglan Road,255,0,就业办公站,131542.92911877396,0.5365332462953355,0.1323408157651419,0.10457503133631425,0.111783536239526
Tangzhen,256,3,通勤居住站,71984.23850574713,0.6541894044248161,0.2026600895394661,0.04929299725289087,0.06203906313315221
Chuangxin Central Road,257,1,郊区低频站点,7859.664750957854,0.7257770475474187,0.14950317075282993,0.07113311816313746,0.06743446331078456
East Huaxia Road,258,3,通勤居住站,43673.541187739465,0.691457185728883,0.20323792876272942,0.031449142305470364,0.04178863064910829
Chuansha,259,3,通勤居住站,66895.07279693487,0.7444130589688593,0.18437342029456136,0.03221975605092576,0.04647881804287097
Lingkong Road,260,1,郊区低频站点,12637.575670498085,0.7261059608194066,0.1888973517996992,0.02532862864573743,0.04914947745841913
Yuandong Avenue,261,1,郊区低频站点,7971.316091954023,1.216009164344692,0.1248032895070127,0.0484923092542501,0.07227101206487033
