datetime,真实客流,普通ARIMA预测,季节SARIMA预测,上周同时刻基线
2017-08-28 06:00,1400,2522.1657724665806,1051.4579975077756,1279
2017-08-28 07:00,4699,2545.2876629815264,3400.0863779243846,3508
2017-08-28 08:00,5474,2545.2481953397896,4036.3738210383212,5454
2017-08-28 09:00,2136,2525.194104196495,1783.0472676892634,3344
2017-08-28 10:00,861,2512.635603067823,1023.6230965909468,1161
2017-08-28 11:00,987,2522.121496220235,1073.6352028869615,1036
2017-08-28 12:00,1279,2538.956817468261,1325.8248736397547,1236
2017-08-28 13:00,1213,2541.311182464134,1319.3423414904912,1110
2017-08-28 14:00,1114,2528.2059980657077,1240.0276592240318,1047
2017-08-28 15:00,1373,2517.9373126296928,1369.694610724763,1209
2017-08-28 16:00,2498,2522.8415824133976,2186.4158521763443,2295
2017-08-28 17:00,8474,2534.816386557617,5984.072391046598,8029
2017-08-28 18:00,11726,2538.0874822431156,7588.732386683405,10221
2017-08-28 19:00,5954,2529.7683629393478,3979.1701273636895,5528
2017-08-28 20:00,3891,2521.7109042809293,3010.3700298178514,3669
2017-08-28 21:00,3028,2523.857760674237,2193.2714655415493,2375
2017-08-28 22:00,905,2532.185612755579,608.6822717476734,587
2017-08-29 06:00,1310,2535.5552610067966,1049.419419666961,1245
2017-08-29 07:00,4921,2530.4571939709863,3394.912854833063,4533
2017-08-29 08:00,5581,2524.3369796219413,4030.4774854136003,5338
2017-08-29 09:00,1957,2524.9100694655003,1782.250335814245,2011
2017-08-29 10:00,920,2530.571561152679,1024.1679000083545,936
2017-08-29 11:00,1029,2533.6301784259335,1073.7775736402245,1047
2017-08-29 12:00,1322,2530.646535046853,1326.017032607105,1326
2017-08-29 13:00,1212,2526.123474053771,1319.4000198028732,1348
2017-08-29 14:00,1092,2525.867857538479,1240.3936468490588,1118
2017-08-29 15:00,1350,2529.625442453472,1369.8677672678427,1358
2017-08-29 16:00,2425,2532.206393549888,2185.631294461652,2405
2017-08-29 17:00,8385,2530.5720630814,5975.308719423574,8203
2017-08-29 18:00,10525,2527.310062231747,7577.781263789852,10647
2017-08-29 19:00,4921,2526.6774704624418,3974.6480242641223,5321
2017-08-29 20:00,3472,2529.105947235686,3006.5915882033696,3723
2017-08-29 21:00,2191,2531.1788575371393,2190.870187273747,2521
2017-08-29 22:00,649,2530.3768480808826,608.3323847978681,695
2017-08-30 06:00,1252,2528.0775814170383,1048.859592310778,1201
2017-08-30 07:00,4360,2527.3285282919173,3393.4921194084063,4618
2017-08-30 08:00,5411,2528.849907510351,4028.8582536541517,5266
2017-08-30 09:00,1974,2530.454102914068,1782.0314850763841,2012
2017-08-30 10:00,911,2530.143542495484,1024.3175120813892,903
2017-08-30 11:00,998,2528.558898154752,1073.8166710152677,1004
2017-08-30 12:00,1342,2527.8328651623588,1326.069802653215,1283
2017-08-30 13:00,1384,2528.7496588854247,1319.4158592260649,1339
2017-08-30 14:00,1181,2529.9542720060854,1240.4941531335933,1169
2017-08-30 15:00,1232,2529.916520813776,1369.9153189324284,1280
2017-08-30 16:00,2432,2528.849320903603,2185.415841873875,2499
2017-08-30 17:00,8153,2528.211889362032,5972.902069543964,8252
2017-08-30 18:00,10364,2528.736083570201,7574.773903435987,10560
2017-08-30 19:00,5167,2529.6174183476414,3973.4061795957796,5266
2017-08-30 20:00,3790,2529.7167578046465,3005.55396533846,3834
2017-08-30 21:00,2452,2529.015681526679,2190.210756352244,2756
2017-08-30 22:00,685,2528.489397670908,608.2363000263423,670
2017-08-31 06:00,1271,2528.766231408804,1048.7058544144584,1245
2017-08-31 07:00,4484,2529.395958050669,3393.1019618482205,4489
2017-08-31 08:00,5269,2529.55157933932,4028.4135857014294,5374
2017-08-31 09:00,2043,2529.1037996857353,1781.9713850264754,1931
2017-08-31 10:00,970,2528.6878158870386,1024.3585980431922,869
2017-08-31 11:00,1031,2528.8144931486095,1073.8274078042516,1027
2017-08-31 12:00,1367,2529.254383819438,1326.0842941849132,1273
2017-08-31 13:00,1336,2529.4208730834216,1319.420208994924,1302
2017-08-31 14:00,1245,2529.1443629913015,1240.5217538297375,1150
2017-08-31 15:00,1362,2528.8265111816827,1369.9283774098305,1327
2017-08-31 16:00,2382,2528.8664470344406,2185.3566750124564,2375
2017-08-31 17:00,8265,2529.1668629244605,5972.241163488583,8096
2017-08-31 18:00,10154,2529.320910557697,7573.948032300588,10228
2017-08-31 19:00,5059,2529.157407765022,3973.065148410436,5069
2017-08-31 20:00,3796,2528.9212948770196,3005.2690168544987,3921
2017-08-31 21:00,2493,2528.9146651300607,2190.0296656614796,2772
2017-08-31 22:00,568,2529.115034558089,608.2099135511556,693
