datetime,真实客流,普通ARIMA预测,季节SARIMA预测,上周同时刻基线
2017-08-27 07:00,219,291.34114187000097,618.2994578033313,229
2017-08-27 08:00,296,291.3034458633874,570.5519920944657,268
2017-08-27 09:00,263,291.2810700438148,260.78316072356597,233
2017-08-27 10:00,229,291.2801481320648,180.21319332497768,227
2017-08-27 11:00,219,291.2931525132585,175.22232743217245,209
2017-08-27 12:00,202,291.30798800669385,174.48841051246234,203
2017-08-27 13:00,187,291.3161083586211,155.85963013650826,141
2017-08-27 14:00,169,291.31571928170297,164.1728646430691,136
2017-08-27 15:00,180,291.3102064870633,189.49989430857414,166
2017-08-27 16:00,219,291.3044059385323,306.576598784233,225
2017-08-27 17:00,206,291.30149915312745,731.9725323293809,171
2017-08-27 18:00,207,291.30194533576787,590.5913509782621,194
2017-08-27 19:00,134,291.30425520669445,289.17519374632354,131
2017-08-27 20:00,104,291.3065082896287,176.01962998171672,101
2017-08-27 21:00,61,291.30753178267895,92.8001901606117,70
2017-08-27 22:00,28,291.30724271824334,27.16970129526273,18
2017-08-28 06:00,412,291.3062847186849,308.5628217250963,357
2017-08-28 07:00,884,291.30541542094085,614.1847111746182,776
2017-08-28 08:00,722,291.30506236591657,567.2244879279647,796
2017-08-28 09:00,268,291.30521976261764,258.7810440866664,359
2017-08-28 10:00,165,291.3056134701169,178.88167410548942,144
2017-08-28 11:00,139,291.30594654651037,173.8830636398873,165
2017-08-28 12:00,181,291.30606513268845,173.2306043679267,139
2017-08-28 13:00,128,291.30598652750575,154.6386996843392,151
2017-08-28 14:00,139,291.305826067652,163.10479832338174,153
2017-08-28 15:00,179,291.30569937349935,188.57834010225986,174
2017-08-28 16:00,325,291.30566097012854,304.8809200594754,343
2017-08-28 17:00,1032,291.3056982198343,729.4716568918947,996
2017-08-28 18:00,864,291.30576311462585,587.1016434232478,831
2017-08-28 19:00,504,291.30581093403555,287.54221611958906,462
2017-08-28 20:00,183,291.30582271634336,174.79697898009124,237
2017-08-28 21:00,83,291.3058056826632,91.9545594680448,94
2017-08-28 22:00,35,291.3057796269867,26.484230772335085,34
2017-08-29 06:00,370,291.30576172854984,307.713217425588,370
2017-08-29 07:00,804,291.3057584246976,612.9675534896134,812
2017-08-29 08:00,709,291.30576601308707,566.2073274838629,779
2017-08-29 09:00,285,291.3057764024037,258.08643329849525,274
2017-08-29 10:00,166,291.30578304027557,178.35768631494523,166
2017-08-29 11:00,173,291.3057838106796,173.37243618562206,168
2017-08-29 12:00,165,291.30578049770037,172.75281416899782,155
2017-08-29 13:00,149,291.3057763827928,154.18250480627682,126
2017-08-29 14:00,169,291.30577394628864,162.6959825628797,149
2017-08-29 15:00,191,291.3057738522825,188.2145924667705,160
2017-08-29 16:00,350,291.3057752753263,304.3495536657288,338
2017-08-29 17:00,977,291.30577689443777,728.7647851555383,942
2017-08-29 18:00,843,291.3057777783093,586.17631642998,875
2017-08-29 19:00,368,291.3057777332534,287.05274239801923,428
2017-08-29 20:00,214,291.30577713023814,174.40985735556353,242
2017-08-29 21:00,76,291.30577649731094,91.6615733896507,108
2017-08-29 22:00,30,291.3057761810678,26.23495462321472,32
2017-08-30 06:00,344,291.30577623077374,307.4325339076525,326
2017-08-30 07:00,833,291.30577648335145,612.6081993540073,821
2017-08-30 08:00,724,291.3057767291451,565.899519601778,734
2017-08-30 09:00,260,291.30577684043124,257.85799489551545,276
2017-08-30 10:00,162,291.30577680849217,178.17329226190344,185
2017-08-30 11:00,171,291.30577670376954,173.19555806318826,192
2017-08-30 12:00,154,291.3057766089564,172.58762569977102,165
2017-08-30 13:00,147,291.3057765705964,154.0261308744232,173
2017-08-30 14:00,139,291.30577658792475,162.55409005008397,173
2017-08-30 15:00,196,291.3057766309506,188.08640048800447,177
2017-08-30 16:00,374,291.3057766672706,304.1858778066015,362
2017-08-30 17:00,1027,291.3057766801426,728.5635946920479,1036
2017-08-30 18:00,729,291.3057766715064,585.9275253411321,736
2017-08-30 19:00,336,291.30577665397516,286.9067621015738,404
2017-08-30 20:00,235,291.3057766401632,174.28975446687872,246
2017-08-30 21:00,98,291.3057766360005,91.56529527158735,114
2017-08-30 22:00,36,291.3057766400876,26.150744892107394,35
2017-08-31 06:00,334,291.30577664717606,307.34296351417316,332
2017-08-31 07:00,802,291.3057766523879,612.5022599669776,834
2017-08-31 08:00,701,291.30577665366235,565.807061398607,719
2017-08-31 09:00,269,291.3057766517951,257.78530919198124,284
2017-08-31 10:00,169,291.3057766489497,178.1121437612753,146
2017-08-31 11:00,185,291.30577664699945,173.13744180671694,154
2017-08-31 12:00,170,291.3057766466435,172.5334116621702,156
2017-08-31 13:00,172,291.3057766474747,153.975072956365,144
2017-08-31 14:00,143,291.305776648609,162.50741408098568,146
2017-08-31 15:00,174,291.3057766493321,188.0438537198522,165
2017-08-31 16:00,373,291.3057766494143,304.136071846262,372
2017-08-31 17:00,926,291.30577664905167,728.5059989364926,890
2017-08-31 18:00,821,291.3057766486025,585.8597595515856,860
2017-08-31 19:00,354,291.30577664833714,286.86339079351194,370
2017-08-31 20:00,219,291.3057766483276,174.25301947731722,220
2017-08-31 21:00,109,291.30577664848335,91.53467679991626,103
2017-08-31 22:00,27,291.30577664866007,26.123492985837817,26
