datetime,真实客流,普通ARIMA预测,季节SARIMA预测,上周同时刻基线
2017-08-27 14:00,1686,545.6125627994626,711.9724702344821,985
2017-08-27 15:00,2164,536.0015286849615,849.5811412651484,1037
2017-08-27 16:00,2468,673.0540946618096,1084.9408426520981,1197
2017-08-27 17:00,2491,707.9335214685195,1251.7812418246403,1105
2017-08-27 18:00,2201,578.2576497398037,892.0314574384558,783
2017-08-27 19:00,1785,519.6455763910099,724.7947409811059,824
2017-08-27 20:00,1403,637.6087012128155,816.1149872074137,849
2017-08-27 21:00,1186,717.6280783883478,1001.6818494767854,916
2017-08-27 22:00,341,615.2556614014139,853.998721814055,264
2017-08-28 06:00,311,516.8562202639436,159.10402431962117,270
2017-08-28 07:00,887,600.3464662214362,424.3995824026631,814
2017-08-28 08:00,796,713.5113504449137,449.25515254862904,729
2017-08-28 09:00,365,651.5046716958544,250.20740974884387,326
2017-08-28 10:00,201,527.6455934280531,218.75944973064037,212
2017-08-28 11:00,251,566.3376966912031,350.119329079253,272
2017-08-28 12:00,318,696.5090398601294,491.2049868432579,259
2017-08-28 13:00,359,682.1402734909839,603.803262862418,318
2017-08-28 14:00,421,550.1954461038752,712.3292772751099,447
2017-08-28 15:00,557,540.0779795263251,849.8803769205018,486
2017-08-28 16:00,687,669.2582251752326,1085.1906317106143,566
2017-08-28 17:00,1101,703.1849375829679,1251.9371986015483,1038
2017-08-28 18:00,920,581.1514729854534,892.1800632096542,741
2017-08-28 19:00,824,524.8979479874879,724.9414606736548,500
2017-08-28 20:00,945,635.7061729635701,816.2303063570979,502
2017-08-28 21:00,2035,712.0602740946621,1001.7906962322689,629
2017-08-28 22:00,4354,616.1166098317519,854.1590722984288,373
2017-08-29 06:00,273,522.5457818157792,159.21436288202517,154
2017-08-29 07:00,738,600.5432958938536,424.48674495661004,438
2017-08-29 08:00,758,707.8969516061945,449.3252646427432,492
2017-08-29 09:00,365,650.2715645559549,250.26448562479595,222
2017-08-29 10:00,222,532.994124817655,218.80592387994025,166
2017-08-29 11:00,341,568.5511661447733,350.1571961592151,313
2017-08-29 12:00,366,691.6059775859496,491.2373921103828,362
2017-08-29 13:00,470,679.0355754076824,603.8292529062355,469
2017-08-29 14:00,609,554.4914350752005,712.3526254335416,545
2017-08-29 15:00,621,543.955737411234,849.8999276782854,692
2017-08-29 16:00,849,665.7081521091029,1085.2069307346933,935
2017-08-29 17:00,1184,698.6772857758958,1251.9475023628418,1752
2017-08-29 18:00,928,583.8442939598477,892.1898017703145,867
2017-08-29 19:00,582,529.8727966972683,724.9509957080868,538
2017-08-29 20:00,683,633.9511716609846,816.2378094419851,610
2017-08-29 21:00,723,706.7947598834089,1001.7977386092463,658
2017-08-29 22:00,412,616.886434671397,854.1692882594452,448
2017-08-30 06:00,186,527.9178995103755,159.2214161661596,202
2017-08-30 07:00,496,600.7716809400309,424.4923198615679,456
2017-08-30 08:00,552,702.6034689418268,449.3297496993641,445
2017-08-30 09:00,311,649.06627579541,250.26813632480057,228
2017-08-30 10:00,262,538.0289367260589,218.80889610427218,200
2017-08-30 11:00,341,570.6789255575545,350.15961759092806,306
2017-08-30 12:00,644,686.9985953018918,491.23946177409545,391
2017-08-30 13:00,761,676.070606859958,603.8309131885105,522
2017-08-30 14:00,776,558.5195356855237,712.3541137754142,665
2017-08-30 15:00,932,547.6451653077104,849.9011731542813,761
2017-08-30 16:00,1110,662.3893167122469,1085.207968499808,853
2017-08-30 17:00,1601,694.3994115875581,1251.9481617918045,1217
2017-08-30 18:00,1164,586.3499035758156,892.190422940324,798
2017-08-30 19:00,601,534.5848107263553,724.9516017820881,583
2017-08-30 20:00,720,632.3335220260374,816.2382865918563,680
2017-08-30 21:00,783,701.8156808024397,1001.7981854061601,669
2017-08-30 22:00,501,617.5727793862583,854.1699321493809,413
2017-08-31 06:00,194,532.9900897925821,159.22186136132296,161
2017-08-31 07:00,515,601.0275386057174,424.49267182786684,431
2017-08-31 08:00,547,697.6129565076272,449.33003287801216,488
2017-08-31 09:00,300,647.8897004870278,250.26836681191216,261
2017-08-31 10:00,226,542.7681385216149,218.80908374588165,210
2017-08-31 11:00,379,572.7235243595746,350.15977045103,327
2017-08-31 12:00,487,682.6694469822287,491.23959235977,351
2017-08-31 13:00,520,673.2396637440704,603.8310179536294,508
2017-08-31 14:00,597,562.2960615263526,712.3542076048611,474
2017-08-31 15:00,688,551.154974668644,849.901251651039,612
2017-08-31 16:00,879,659.2871495110854,1085.2080338902433,860
2017-08-31 17:00,1101,690.3399873142026,1251.948203435112,1272
2017-08-31 18:00,701,588.6806922126725,892.190462111036,811
2017-08-31 19:00,485,539.0475415163232,724.9516399433963,544
2017-08-31 20:00,522,630.8434303630663,816.2383166418242,685
2017-08-31 21:00,689,697.107772954812,1001.7982135158067,828
2017-08-31 22:00,368,618.1825544178392,854.1699725427032,398
