datetime,真实客流,普通ARIMA预测,季节SARIMA预测,上周同时刻基线
2017-08-27 14:00,11510,11035.841143262693,8426.121659198161,11696
2017-08-27 15:00,13207,13130.549176798937,9796.411844673534,11828
2017-08-27 16:00,14732,14608.10808410088,11797.474871796168,13941
2017-08-27 17:00,14930,15269.218545229502,18626.57352919899,13657
2017-08-27 18:00,12562,15025.132742147613,19823.37875488752,11907
2017-08-27 19:00,12258,13909.56716377992,12340.03189863229,11230
2017-08-27 20:00,13553,12074.047247769124,11988.844826764815,12165
2017-08-27 21:00,11854,9767.326372673364,11991.711350349922,9997
2017-08-27 22:00,6556,7301.674565152928,6799.016059758542,5654
2017-08-28 06:00,2600,5010.605472053676,1782.4348676579182,2651
2017-08-28 07:00,6064,3203.7642082856,3969.3039655720518,5830
2017-08-28 08:00,5930,2125.0780714163657,4608.946336269504,6089
2017-08-28 09:00,3959,1919.8261258925158,3696.057213221195,4745
2017-08-28 10:00,4078,2615.07325721295,3979.3201962417334,4400
2017-08-28 11:00,5006,4116.103743537497,4961.750333732587,4554
2017-08-28 12:00,6490,6219.323972268743,6377.215644703493,6390
2017-08-28 13:00,7466,8639.876714766002,7439.788267602513,6775
2017-08-28 14:00,8020,11050.221560814301,8447.225692565047,7643
2017-08-28 15:00,9753,13124.456295443026,9810.660737308805,8653
2017-08-28 16:00,12442,14582.381865052545,11811.367705054066,10795
2017-08-28 17:00,22361,15227.35297309892,18580.89420685764,20794
2017-08-28 18:00,25322,14972.801302199217,19750.61184011097,24590
2017-08-28 19:00,14582,13853.85399581076,12323.16801608531,13554
2017-08-28 20:00,13572,12022.488166485346,11997.076896734996,10532
2017-08-28 21:00,13553,9726.889570933821,11992.19595624734,9697
2017-08-28 22:00,7426,7277.8188698802205,6809.325110558825,5133
2017-08-29 06:00,2101,5006.543427895581,1791.401900298837,2040
2017-08-29 07:00,4775,3220.0294684747887,3970.716716564075,4514
2017-08-29 08:00,5454,2159.455350604894,4608.183614832062,5362
2017-08-29 09:00,4084,1967.6529007222498,3696.495054620296,4230
2017-08-29 10:00,4336,2669.872127976537,3979.9507704725474,4194
2017-08-29 11:00,4896,4170.459692923443,4963.640847259654,5263
2017-08-29 12:00,6355,6265.887711427862,6380.0176169262195,6467
2017-08-29 13:00,7349,8672.358351844356,7442.702559432414,7713
2017-08-29 14:00,8016,11064.240242548554,8453.754280439789,8565
2017-08-29 15:00,9623,13118.131052552766,9815.068695586433,9465
2017-08-29 16:00,11266,14556.583975193174,11815.665480810901,11187
2017-08-29 17:00,20567,15185.585985163205,18566.76380167605,20900
2017-08-29 18:00,22126,14920.725237490793,19728.10208969837,23959
2017-08-29 19:00,11636,13798.518340562514,12317.951384603819,13409
2017-08-29 20:00,9954,11971.377594540361,11999.623474445261,11502
2017-08-29 21:00,9111,9686.911574889327,11992.345908697615,11330
2017-08-29 22:00,5722,7254.370231999061,6812.51416403993,5939
2017-08-30 06:00,1975,5002.781694078632,1794.1758043458929,1942
2017-08-30 07:00,4515,3236.447770124012,3971.153760707118,4491
2017-08-30 08:00,5156,2193.817825139843,4607.9476901566295,5096
2017-08-30 09:00,3907,2015.2991587550523,3696.6305104990474,4136
2017-08-30 10:00,4541,2724.349308545922,3980.145843836076,4425
2017-08-30 11:00,5364,4224.3963866345,4964.225670142029,5164
2017-08-30 12:00,6802,6311.991395138019,6380.8843902231265,6408
2017-08-30 13:00,8077,8704.401371365453,7443.604076487285,7186
2017-08-30 14:00,8761,11077.901034583621,8455.773848811998,7797
2017-08-30 15:00,10122,13111.576975628275,9816.432263984429,9211
2017-08-30 16:00,11821,14530.717146691455,11816.994964488138,11532
2017-08-30 17:00,21102,15143.919149460911,18562.39268040664,21009
2017-08-30 18:00,22243,14868.904740828173,19721.138887294983,23084
2017-08-30 19:00,12480,13743.558990621477,12316.337664298482,13303
2017-08-30 20:00,10892,11920.713088661854,12000.411238037657,11853
2017-08-30 21:00,10304,9647.389036744731,11992.392296005042,12030
2017-08-30 22:00,6182,7231.324852569659,6813.500671798028,6270
2017-08-31 06:00,1963,4999.316534540211,1795.0338889537807,1908
2017-08-31 07:00,4559,3253.0159451629997,3971.2889570503426,4539
2017-08-31 08:00,5305,2228.1633228606506,4607.874709116963,5352
2017-08-31 09:00,3774,2062.764016660356,3696.6724128806777,4119
2017-08-31 10:00,4514,2778.5053228434017,3980.2061883412002,4268
2017-08-31 11:00,5430,4277.915683896374,4964.406580378475,4971
2017-08-31 12:00,6737,6357.637965484992,6381.1525194433,6179
2017-08-31 13:00,8101,8736.009399613737,7443.882953375706,7173
2017-08-31 14:00,8618,11091.207756542528,8456.398585552024,7574
2017-08-31 15:00,10409,13104.797561015737,9816.854072576638,9238
2017-08-31 16:00,11700,14504.78408011945,11817.406229243807,11231
2017-08-31 17:00,20543,15102.354006263908,18561.040510452967,20868
2017-08-31 18:00,22124,14817.339984831855,19718.984878606374,23335
2017-08-31 19:00,12179,13688.974728693314,12315.838473372916,13186
2017-08-31 20:00,10125,11870.492207329438,12000.654926166226,11634
2017-08-31 21:00,9571,9608.31862184334,11992.406645545963,11997
2017-08-31 22:00,5615,7208.678955391746,6813.805839773878,6332
