datetime,真实客流,普通ARIMA预测,季节SARIMA预测,上周同时刻基线
2017-08-28 08:00,15026,3823.461451083911,11236.518597880635,18926
2017-08-28 09:00,6176,3823.461451083875,5095.886566927591,6471
2017-08-28 10:00,3252,3823.4614510838546,3165.3557674152403,3300
2017-08-28 11:00,2513,3823.4614510838433,2702.6592240797418,2732
2017-08-28 12:00,2751,3823.4614510838373,2870.007616143557,2952
2017-08-28 13:00,2561,3823.4614510838337,2608.877479936455,2474
2017-08-28 14:00,2374,3823.4614510838314,2450.213983195003,2326
2017-08-28 15:00,2494,3823.4614510838305,2593.800044791478,2534
2017-08-28 16:00,3630,3823.46145108383,3256.7671076130837,3424
2017-08-28 17:00,5438,3823.4614510838296,4381.209451953952,5086
2017-08-28 18:00,4496,3823.4614510838296,3607.8016426156883,4101
2017-08-28 19:00,2706,3823.461451083829,2207.5556755180055,2203
2017-08-28 20:00,2038,3823.461451083829,1903.4195295615182,1758
2017-08-28 21:00,1863,3823.461451083829,1492.435908086137,1361
2017-08-28 22:00,641,3823.461451083829,478.569557555972,431
2017-08-29 06:00,4965,3823.461451083829,3990.3043695004426,4783
2017-08-29 07:00,13973,3823.461451083829,10413.05771593683,13710
2017-08-29 08:00,14351,3823.461451083829,11224.696959024921,15006
2017-08-29 09:00,5765,3823.461451083829,5092.667087055356,6103
2017-08-29 10:00,3195,3823.461451083829,3165.218660781442,3635
2017-08-29 11:00,2662,3823.461451083829,2702.7152235033313,2879
2017-08-29 12:00,2756,3823.461451083829,2869.565833024642,2955
2017-08-29 13:00,2560,3823.461451083829,2609.6091734687534,2719
2017-08-29 14:00,2324,3823.461451083829,2450.768319019049,2498
2017-08-29 15:00,2516,3823.461451083829,2594.239563521785,2588
2017-08-29 16:00,3569,3823.461451083829,3255.844493471563,3570
2017-08-29 17:00,4967,3823.461451083829,4378.417263981849,5400
2017-08-29 18:00,3929,3823.461451083829,3605.6753256905486,4383
2017-08-29 19:00,2133,3823.461451083829,2207.306500094615,2317
2017-08-29 20:00,1666,3823.461451083829,1903.2352374436289,1941
2017-08-29 21:00,1234,3823.461451083829,1492.513077117071,1370
2017-08-29 22:00,442,3823.461451083829,478.7090979576947,449
2017-08-30 06:00,4760,3823.461451083829,3989.4936746369526,4711
2017-08-30 07:00,13870,3823.461451083829,10410.37962182288,14304
2017-08-30 08:00,14071,3823.461451083829,11221.612919483447,14056
2017-08-30 09:00,6066,3823.461451083829,5091.827186314847,5826
2017-08-30 10:00,3376,3823.461451083829,3165.182892282235,3471
2017-08-30 11:00,2783,3823.461451083829,2702.7298326822074,2707
2017-08-30 12:00,3192,3823.461451083829,2869.450580256044,3054
2017-08-30 13:00,2832,3823.461451083829,2609.800058320963,2658
2017-08-30 14:00,2458,3823.461451083829,2450.912934636349,2312
2017-08-30 15:00,2618,3823.461451083829,2594.3542255546918,2582
2017-08-30 16:00,3549,3823.461451083829,3255.60380108291,3593
2017-08-30 17:00,5274,3823.461451083829,4377.688835528036,5255
2017-08-30 18:00,3902,3823.461451083829,3605.1206102610827,4367
2017-08-30 19:00,2203,3823.461451083829,2207.241494991018,2386
2017-08-30 20:00,1799,3823.461451083829,1903.1871591538343,1874
2017-08-30 21:00,1383,3823.461451083829,1492.533209041729,1497
2017-08-30 22:00,480,3823.461451083829,478.745501380418,485
2017-08-31 06:00,4952,3823.461451083829,3989.282179847982,4868
2017-08-31 07:00,13253,3823.461451083829,10409.680958275125,13287
2017-08-31 08:00,14465,3823.461451083829,11220.808352535541,14634
2017-08-31 09:00,5893,3823.461451083829,5091.608072270993,6019
2017-08-31 10:00,3432,3823.461451083829,3165.173560964705,3201
2017-08-31 11:00,3013,3823.461451083829,2702.733643937641,2685
2017-08-31 12:00,3170,3823.461451083829,2869.4205130124105,2998
2017-08-31 13:00,2713,3823.461451083829,2609.8498565290856,2396
2017-08-31 14:00,2359,3823.461451083829,2450.9506620857755,2289
2017-08-31 15:00,2611,3823.461451083829,2594.3841386866784,2466
2017-08-31 16:00,3539,3823.461451083829,3255.5410090408764,3525
2017-08-31 17:00,4874,3823.461451083829,4377.498802472373,5193
2017-08-31 18:00,3973,3823.461451083829,3604.975895611987,4226
2017-08-31 19:00,2063,3823.461451083829,2207.2245364024216,2280
2017-08-31 20:00,1748,3823.461451083829,1903.174616447309,1957
2017-08-31 21:00,1184,3823.461451083829,1492.5384610759393,1470
2017-08-31 22:00,388,3823.461451083829,478.7549983373538,438
